Local,Descricao
2714.0,Av. Atlântica (Centro/Bairro) a mais 175m. R. Mario Martins de Almeida
2715.0,Av. Roque Petroni Junior (Marg.Pinheiros/Diadema) n° 1.089
2716.0,Av. Roque Petroni Junior (Marg.Pinheiros/Diadema) n° 1.089
2717.0,Estrada do Alvarenga (Centro/Bairro - Bairro/Centro) Oposto ao nº 3565 - nº 3565
2718.0,Av. Roque Petroni Junior (Diadema/Marginal Pinheiros) n° 1.226
2719.0,Av. Giovanni Gronchi (Bairro/Centro) n° 4.855
2720.0,Av. Carlos Caldeira Filho (Centro/Bairro) a mais 375m. Av. Giovanni Gronchi
2721.0,Av. Carlos Caldeira Filho (Bairro/Centro) n° 453
2723.0,R. José Ramon Urtiza (Marginal Pinheiros/Giovanni) Av. Giovanni Gronchi
2724.0,Av. Ellis Maas (Centro/Bairro) Av. Prof°. Dr°. Telemaco H. M.V. Langendonck
2726.0,Estrada do Alvarenga (Centro/Bairro - Bairro/Centro) Oposto ao nº 3565 - nº 3565
2727.0,Av. Felipe Carrilo (São Paulo/Embu - Embu/São Paulo) n° 220 - n° 189
2728.0,Av. Felipe Carrilo (São Paulo/Embu - Embu/São Paulo) n° 220 - n° 189
2729.0,Av. Dom Rodrigues Sanches (Embu/São Paulo - São Paulo/Embu) oposto ao n° 650 - n° 650
2730.0,Av. Dom Rodrigues Sanches (Embu/São Paulo - São Paulo/Embu) oposto ao n° 650 - n° 650
2731.0,Marg. Pinheiros (C. Branco - Interlagos) A mais 214m da R. Bento Frias
2753.0,Marginal Pinheiros Pista Expressa (Interlagos/Castelo Branco) A menos 19 m do Km 16
2759.0,"Marginal Pinheiros  Pista Expressa (Castelo Branco/Interlagos) a mais 650m do Km 4,5 (USP)"
2760.0,"Marginal Pinheiros  Pista Expressa (Castelo Branco/Interlagos) a mais 650m do Km 4,5 (USP)"
2761.0,"Marginal Pinheiros  Pista Expressa (Castelo Branco/Interlagos) a mais 650m do Km 4,5 (USP)"
2765.0,Marg. Pinheiros (C. Branco - Interlagos) A mais 214m da R. Bento Frias
2766.0,Marg. Pinheiros (C. Branco - Interlagos) A mais 214m da R. Bento Frias
